symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd,recommended_budget_usd
XOM,172.65,bullish,0.2841,1.0734,0.143,31,0.0,-0.04,1.0,0.7933,BUY_STOCK,NO_OPTION,NOW,172.132,180.7685,166.9502,1.667,,,0.0,"gate(mcap=719475048448,avg_vol=21091210,price=172.65,vol20=1.40%,beta=0.35) | PE=25.8, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.69, sma50=149.77, sma200=123.01, mom20=13.71%, rsi14=89.3, vol20=1.40% | headline_sentiment=0.36 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.50",STOCK_ONLY,"BUY 6 SHARES @ 172.13, SELL @ 180.77, STOP @ 166.95",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.79, regime bullish)",DAILY_TRADING,6,1032.79,0,0.0,1032.79
CVX,212.0,bullish,0.1335,1.0965,-0.0322,31,0.0,-0.04,1.0,0.7172,BUY_STOCK,NO_OPTION,NOW,211.364,220.1769,206.0763,1.667,,,0.0,"gate(mcap=423862960128,avg_vol=12332432,price=212.00,vol20=1.26%,beta=0.66) | PE=32.0, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.03, sma50=186.10, sma200=161.63, mom20=12.31%, rsi14=93.9, vol20=1.26% | headline_sentiment=-0.08 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.55",STOCK_ONLY,"BUY 5 SHARES @ 211.36, SELL @ 220.18, STOP @ 206.08",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING,5,1056.82,0,0.0,1056.82
VZ,50.43,bullish,0.2349,0.515,0.0746,9,0.5329,-0.04,-0.8762,0.4153,BUY_STOCK,NO_OPTION,NOW,50.2787,52.2666,49.086,1.667,,,0.0,"gate(mcap=212697808896,avg_vol=31597718,price=50.43,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.61, sma50=47.54, sma200=43.26, mom20=-0.86%, rsi14=47.5, vol20=0.97% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.92",STOCK_ONLY,"BUY 23 SHARES @ 50.28, SELL @ 52.27, STOP @ 49.09",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.42, regime bullish)",DAILY_TRADING,23,1156.41,0,0.0,1156.41
T,29.055,bullish,0.3952,0.3794,-0.0084,22,0.388,-0.04,-0.8762,0.3914,BUY_STOCK,NO_OPTION,NOW,28.9678,30.1775,28.242,1.667,,,0.0,"gate(mcap=203401773056,avg_vol=44477611,price=29.06,vol20=1.46%,beta=0.58) | PE=9.6, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.27, sma50=27.21, sma200=26.88, mom20=1.34%, rsi14=69.0, vol20=1.46% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.80",STOCK_ONLY,"BUY 41 SHARES @ 28.97, SELL @ 30.18, STOP @ 28.24",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.39, regime bullish)",DAILY_TRADING,41,1187.68,0,0.0,1187.68
WMT,123.77,bullish,0.168,0.2684,0.2031,37,0.0,-0.04,-0.712,0.2567,BUY_STOCK,NO_OPTION,NOW,123.3987,128.5458,120.3104,1.667,,,0.0,"gate(mcap=986664599552,avg_vol=31058015,price=123.77,vol20=1.33%,beta=0.66) | PE=45.3, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.77, sma50=124.15, sma200=108.81, mom20=-3.24%, rsi14=46.4, vol20=1.33% | headline_sentiment=0.51 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.55",STOCK_ONLY,"BUY 9 SHARES @ 123.40, SELL @ 128.55, STOP @ 120.31",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.26, regime bullish)",DAILY_TRADING,9,1110.59,0,0.0,1110.59
PFE,27.48,bullish,0.2469,0.276,0.0333,35,0.0,-0.04,-0.8654,0.2539,BUY_STOCK,NO_OPTION,NOW,27.3976,28.6576,26.6416,1.667,,,0.0,"gate(mcap=156316024832,avg_vol=45343106,price=27.48,vol20=1.42%,beta=0.41) | PE=20.2, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=3.39%, rsi14=53.7, vol20=1.42% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 43 SHARES @ 27.40, SELL @ 28.66, STOP @ 26.64",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,43,1178.1,0,0.0,1178.1
KO,76.88,bullish,0.3917,0.1102,0.0184,0,0.0,-0.04,-0.712,0.2473,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=330903289856,avg_vol=17924930,price=76.88,vol20=0.98%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.69, sma50=76.80, sma200=71.22, mom20=-3.10%, rsi14=43.9, vol20=0.98% | headline_sentiment=0.05 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.88",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
COST,1002.2525,bullish,0.2611,0.1387,0.1245,59,0.0,-0.04,-0.712,0.2238,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=444869214208,avg_vol=2252254,price=1002.25,vol20=1.03%,beta=0.99) | PE=52.2, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.35, sma50=986.38, sma200=948.28, mom20=-0.55%, rsi14=52.4, vol20=1.03% | headline_sentiment=0.31 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.95",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.22, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
NFLX,93.34,bullish,0.5495,-0.2919,0.1479,17,0.5513,-0.04,-0.8762,0.1909,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=395937939456,avg_vol=48441452,price=93.34,vol20=1.33%,beta=1.71) | PE=36.9, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.94, sma50=87.58, sma200=107.50, mom20=-4.46%, rsi14=37.7, vol20=1.33% | headline_sentiment=0.37 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.55, earnings_outlook_score=0.95, price_setup_score=0.79",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.19, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
LLY,893.26,bullish,0.4923,-0.3111,0.0403,30,0.3042,-0.04,-0.8654,0.1194,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=799153324032,avg_vol=3071144,price=893.26,vol20=1.79%,beta=0.43) | PE=39.0, margin=0.32, ROE=1.01, rev_growth=0.43, debt_to_equity=165.3 | sma20=950.85, sma50=1004.44, sma200=896.10, mom20=-11.36%, rsi14=22.4, vol20=1.79% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.30, earnings_outlook_score=0.96, price_setup_score=0.21",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.12, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
