symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd,recommended_budget_usd
XOM,173.22,bullish,0.2835,1.0803,0.0903,31,0.0,-0.04,1.0,0.7883,BUY_STOCK,NO_OPTION,NOW,172.7003,181.3368,167.5185,1.667,,,0.0,"gate(mcap=721766776832,avg_vol=21091210,price=173.22,vol20=1.41%,beta=0.35) | PE=25.9, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.71, sma50=149.78, sma200=123.02, mom20=14.09%, rsi14=89.5, vol20=1.41% | headline_sentiment=0.23 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.50",STOCK_ONLY,"BUY 6 SHARES @ 172.70, SELL @ 181.34, STOP @ 167.52",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.79, regime bullish)",DAILY_TRADING,6,1036.2,0,0.0,1036.2
CVX,213.1,bullish,0.1324,1.1074,-0.026,31,0.0,-0.04,1.0,0.7226,BUY_STOCK,NO_OPTION,NOW,212.4607,221.2736,207.173,1.667,,,0.0,"gate(mcap=426062249984,avg_vol=12332432,price=213.10,vol20=1.26%,beta=0.66) | PE=32.1, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.09, sma50=186.13, sma200=161.63, mom20=12.89%, rsi14=94.1, vol20=1.26% | headline_sentiment=-0.07 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.54",STOCK_ONLY,"BUY 5 SHARES @ 212.46, SELL @ 221.27, STOP @ 207.17",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING,5,1062.3,0,0.0,1062.3
VZ,50.335,bullish,0.2351,0.5024,0.0688,9,0.5258,-0.04,-0.8884,0.4072,BUY_STOCK,NO_OPTION,NOW,50.184,52.1497,49.0046,1.667,,,0.0,"gate(mcap=212297138176,avg_vol=31597718,price=50.33,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.60, sma50=47.53, sma200=43.26, mom20=-1.05%, rsi14=46.6, vol20=0.97% | headline_sentiment=0.17 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.91",STOCK_ONLY,"BUY 23 SHARES @ 50.18, SELL @ 52.15, STOP @ 49.00",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.41, regime bullish)",DAILY_TRADING,23,1154.23,0,0.0,1154.23
T,28.99,bullish,0.3953,0.3625,-0.0105,22,0.3869,-0.04,-0.8884,0.3825,BUY_STOCK,NO_OPTION,NOW,28.903,30.1127,28.1772,1.667,,,0.0,"gate(mcap=202946723840,avg_vol=44477611,price=28.99,vol20=1.46%,beta=0.58) | PE=9.5, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.26, sma50=27.21, sma200=26.88, mom20=1.12%, rsi14=67.8, vol20=1.46% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.82",STOCK_ONLY,"BUY 41 SHARES @ 28.90, SELL @ 30.11, STOP @ 28.18",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.38, regime bullish)",DAILY_TRADING,41,1185.02,0,0.0,1185.02
PFE,27.38,bullish,0.2474,0.2583,0.0582,35,0.0,-0.04,-0.8401,0.2519,BUY_STOCK,NO_OPTION,NOW,27.2979,28.545,26.5496,1.667,,,0.0,"gate(mcap=155747188736,avg_vol=45343106,price=27.38,vol20=1.40%,beta=0.41) | PE=20.1, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=3.01%, rsi14=52.6, vol20=1.40% | headline_sentiment=0.15 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 43 SHARES @ 27.30, SELL @ 28.55, STOP @ 26.55",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,43,1173.81,0,0.0,1173.81
WMT,124.1,bullish,0.1672,0.2824,0.1083,37,0.0,-0.04,-0.6898,0.2502,BUY_STOCK,NO_OPTION,NOW,123.7277,128.8748,120.6394,1.667,,,0.0,"gate(mcap=989335322624,avg_vol=31058015,price=124.10,vol20=1.34%,beta=0.66) | PE=45.5, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.79, sma50=124.16, sma200=108.81, mom20=-2.98%, rsi14=47.3, vol20=1.34% | headline_sentiment=0.27 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.56",STOCK_ONLY,"BUY 9 SHARES @ 123.73, SELL @ 128.87, STOP @ 120.64",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,9,1113.55,0,0.0,1113.55
KO,76.775,bullish,0.3919,0.1006,0.0281,0,0.0,-0.04,-0.6898,0.2463,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=330451353600,avg_vol=17924930,price=76.78,vol20=0.96%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.68, sma50=76.80, sma200=71.22, mom20=-3.23%, rsi14=43.2, vol20=0.96% | headline_sentiment=0.07 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.52",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
COST,1002.56,bullish,0.261,0.1407,0.0901,59,0.0,-0.04,-0.6898,0.2212,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=445005725696,avg_vol=2252254,price=1002.56,vol20=1.04%,beta=0.99) | PE=52.2, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.36, sma50=986.39, sma200=948.28, mom20=-0.52%, rsi14=52.6, vol20=1.04% | headline_sentiment=0.23 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.95",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.22, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
NFLX,93.425,bullish,0.5492,-0.288,0.1633,17,0.5557,-0.04,-0.8884,0.1943,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=396298551296,avg_vol=48441452,price=93.43,vol20=1.33%,beta=1.71) | PE=36.9, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.94, sma50=87.58, sma200=107.50, mom20=-4.38%, rsi14=37.9, vol20=1.33% | headline_sentiment=0.41 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.56, earnings_outlook_score=0.95, price_setup_score=0.80",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.19, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
CAT,676.04,bullish,0.2652,0.0659,-0.0141,30,0.2291,-0.04,-1.0,0.1717,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=316372910080,avg_vol=2803688,price=676.04,vol20=2.16%,beta=1.53) | PE=36.0, margin=0.13, ROE=0.44, rev_growth=0.18, debt_to_equity=206.7 | sma20=702.09, sma50=706.75, sma200=544.33, mom20=-6.39%, rsi14=34.7, vol20=2.16% | headline_sentiment=-0.04 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.23, earnings_outlook_score=0.45, price_setup_score=0.36",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.17, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
