symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd,recommended_budget_usd
XOM,172.9699,bullish,0.2838,1.0773,0.143,31,0.0,-0.04,1.0,0.7949,BUY_STOCK,NO_OPTION,NOW,172.451,181.0874,167.2691,1.667,,,0.0,"gate(mcap=720766763008,avg_vol=21091210,price=172.97,vol20=1.40%,beta=0.35) | PE=25.8, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.70, sma50=149.78, sma200=123.02, mom20=13.92%, rsi14=89.4, vol20=1.40% | headline_sentiment=0.36 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.50",STOCK_ONLY,"BUY 6 SHARES @ 172.45, SELL @ 181.09, STOP @ 167.27",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.79, regime bullish)",DAILY_TRADING,6,1034.71,0,0.0,1034.71
CVX,212.3201,bullish,0.1332,1.0997,-0.0322,31,0.0,-0.04,1.0,0.7185,BUY_STOCK,NO_OPTION,NOW,211.6831,220.496,206.3954,1.667,,,0.0,"gate(mcap=424502951936,avg_vol=12332432,price=212.32,vol20=1.26%,beta=0.66) | PE=32.0, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.05, sma50=186.11, sma200=161.63, mom20=12.48%, rsi14=94.0, vol20=1.26% | headline_sentiment=-0.08 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.55",STOCK_ONLY,"BUY 5 SHARES @ 211.68, SELL @ 220.50, STOP @ 206.40",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING,5,1058.42,0,0.0,1058.42
VZ,50.44,bullish,0.2349,0.5164,0.0746,9,0.5334,-0.04,-0.873,0.4162,BUY_STOCK,NO_OPTION,NOW,50.2887,52.2765,49.096,1.667,,,0.0,"gate(mcap=212739981312,avg_vol=31597718,price=50.44,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.61, sma50=47.54, sma200=43.26, mom20=-0.85%, rsi14=47.6, vol20=0.97% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.92",STOCK_ONLY,"BUY 23 SHARES @ 50.29, SELL @ 52.28, STOP @ 49.10",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.42, regime bullish)",DAILY_TRADING,23,1156.64,0,0.0,1156.64
T,29.085,bullish,0.3951,0.3873,-0.0084,22,0.3882,-0.04,-0.873,0.3952,BUY_STOCK,NO_OPTION,NOW,28.9977,30.2074,28.272,1.667,,,0.0,"gate(mcap=203611783168,avg_vol=44477611,price=29.08,vol20=1.46%,beta=0.58) | PE=9.6, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.27, sma50=27.21, sma200=26.88, mom20=1.45%, rsi14=69.6, vol20=1.46% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.79",STOCK_ONLY,"BUY 41 SHARES @ 29.00, SELL @ 30.21, STOP @ 28.27",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.40, regime bullish)",DAILY_TRADING,41,1188.91,0,0.0,1188.91
PFE,27.54,bullish,0.2466,0.2864,0.0333,35,0.0,-0.04,-0.8563,0.2592,BUY_STOCK,NO_OPTION,NOW,27.4574,28.7174,26.7014,1.667,,,0.0,"gate(mcap=156657336320,avg_vol=45343106,price=27.54,vol20=1.43%,beta=0.41) | PE=20.2, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=3.61%, rsi14=54.3, vol20=1.43% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 43 SHARES @ 27.46, SELL @ 28.72, STOP @ 26.70",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.26, regime bullish)",DAILY_TRADING,43,1180.67,0,0.0,1180.67
WMT,123.82,bullish,0.1678,0.2706,0.2031,37,0.0,-0.04,-0.7144,0.2574,BUY_STOCK,NO_OPTION,NOW,123.4485,128.5957,120.3603,1.667,,,0.0,"gate(mcap=987142881280,avg_vol=31058015,price=123.82,vol20=1.33%,beta=0.66) | PE=45.4, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.78, sma50=124.15, sma200=108.81, mom20=-3.20%, rsi14=46.5, vol20=1.33% | headline_sentiment=0.51 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.55",STOCK_ONLY,"BUY 9 SHARES @ 123.45, SELL @ 128.60, STOP @ 120.36",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.26, regime bullish)",DAILY_TRADING,9,1111.04,0,0.0,1111.04
KO,76.875,bullish,0.3917,0.1097,0.0183,0,0.0,-0.04,-0.7144,0.2469,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=330881761280,avg_vol=17924930,price=76.88,vol20=0.97%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.69, sma50=76.80, sma200=71.22, mom20=-3.11%, rsi14=43.9, vol20=0.97% | headline_sentiment=0.05 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.88",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
COST,1001.04,bullish,0.2615,0.1309,0.1244,59,0.0,-0.04,-0.7144,0.2202,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=444331032576,avg_vol=2252254,price=1001.04,vol20=1.02%,beta=0.99) | PE=52.2, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.29, sma50=986.36, sma200=948.27, mom20=-0.67%, rsi14=51.9, vol20=1.02% | headline_sentiment=0.31 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.95",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.22, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
NFLX,93.245,bullish,0.5497,-0.2961,0.1478,17,0.5507,-0.04,-0.873,0.1892,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=395534991360,avg_vol=48441452,price=93.25,vol20=1.33%,beta=1.71) | PE=36.9, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.94, sma50=87.58, sma200=107.50, mom20=-4.56%, rsi14=37.4, vol20=1.33% | headline_sentiment=0.37 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.55, earnings_outlook_score=0.95, price_setup_score=0.79",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.19, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
LLY,894.855,bullish,0.4918,-0.3083,0.0403,30,0.3045,-0.04,-0.8563,0.1212,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=800911982592,avg_vol=3071144,price=894.85,vol20=1.80%,beta=0.43) | PE=39.0, margin=0.32, ROE=1.01, rev_growth=0.43, debt_to_equity=165.3 | sma20=950.92, sma50=1004.47, sma200=896.11, mom20=-11.20%, rsi14=23.1, vol20=1.80% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.30, earnings_outlook_score=0.96, price_setup_score=0.22",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.12, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
