symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
XOM,174.26,bullish,0.2825,1.0926,0.1432,31,0.0,-0.04,1.0,0.8014,BUY_STOCK,NO_OPTION,NOW,173.7372,182.3736,168.5554,1.667,,,0.0,"gate(mcap=726100213760,avg_vol=21091210,price=174.26,vol20=1.43%,beta=0.35) | PE=26.0, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.77, sma50=149.80, sma200=123.02, mom20=14.77%, rsi14=89.8, vol20=1.43% | headline_sentiment=0.36 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.48",STOCK_ONLY,"BUY 0 SHARES @ 173.74, SELL @ 182.37, STOP @ 168.56",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.80, regime bullish)",DAILY_TRADING
CVX,213.52,bullish,0.132,1.1114,-0.0126,31,0.0,-0.04,1.0,0.7262,BUY_STOCK,NO_OPTION,NOW,212.8794,221.6923,207.5917,1.667,,,0.0,"gate(mcap=426901995520,avg_vol=12332432,price=213.52,vol20=1.27%,beta=0.66) | PE=32.2, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.11, sma50=186.13, sma200=161.64, mom20=13.11%, rsi14=94.2, vol20=1.27% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.54",STOCK_ONLY,"BUY 0 SHARES @ 212.88, SELL @ 221.69, STOP @ 207.59",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.73, regime bullish)",DAILY_TRADING
VZ,50.225,bullish,0.2352,0.4888,0.0885,9,0.5276,-0.04,-0.8438,0.4078,BUY_STOCK,NO_OPTION,NOW,50.0743,52.0522,48.8876,1.667,,,0.0,"gate(mcap=211833176064,avg_vol=31597718,price=50.22,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.59, sma50=47.53, sma200=43.26, mom20=-1.27%, rsi14=45.7, vol20=0.97% | headline_sentiment=0.22 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.89",STOCK_ONLY,"BUY 0 SHARES @ 50.07, SELL @ 52.05, STOP @ 48.89",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend weak (score 0.41, regime bullish)",DAILY_TRADING
T,29.03,bullish,0.3952,0.3728,-0.0087,22,0.3877,-0.04,-0.8438,0.391,BUY_STOCK,NO_OPTION,NOW,28.9429,30.1526,28.2171,1.667,,,0.0,"gate(mcap=203226759168,avg_vol=44477611,price=29.03,vol20=1.46%,beta=0.58) | PE=9.5, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.26, sma50=27.21, sma200=26.88, mom20=1.26%, rsi14=68.5, vol20=1.46% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.81",STOCK_ONLY,"BUY 0 SHARES @ 28.94, SELL @ 30.15, STOP @ 28.22",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.39, regime bullish)",DAILY_TRADING
WMT,124.325,bullish,0.1666,0.2917,0.2144,37,0.0,-0.04,-0.676,0.2712,BUY_STOCK,NO_OPTION,NOW,123.952,129.0992,120.8637,1.667,,,0.0,"gate(mcap=991168954368,avg_vol=31058015,price=124.32,vol20=1.35%,beta=0.66) | PE=45.5, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.80, sma50=124.16, sma200=108.81, mom20=-2.80%, rsi14=47.9, vol20=1.35% | headline_sentiment=0.54 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.92",STOCK_ONLY,"BUY 0 SHARES @ 123.95, SELL @ 129.10, STOP @ 120.86",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.27, regime bullish)",DAILY_TRADING
PFE,27.4522,bullish,0.2471,0.2712,0.0429,35,0.0,-0.04,-0.8476,0.2547,BUY_STOCK,NO_OPTION,NOW,27.3698,28.6227,26.6181,1.667,,,0.0,"gate(mcap=156157902848,avg_vol=45343106,price=27.45,vol20=1.41%,beta=0.41) | PE=20.2, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=3.28%, rsi14=53.4, vol20=1.41% | headline_sentiment=0.11 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 0 SHARES @ 27.37, SELL @ 28.62, STOP @ 26.62",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING
KO,76.785,bullish,0.3919,0.1015,0.0241,0,0.0,-0.04,-0.676,0.2472,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=330494410752,avg_vol=17924930,price=76.79,vol20=0.96%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.68, sma50=76.80, sma200=71.22, mom20=-3.22%, rsi14=43.3, vol20=0.96% | headline_sentiment=0.06 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.52",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING
COST,1003.62,bullish,0.2606,0.1475,0.1738,59,0.0,-0.04,-0.676,0.2378,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=445476208640,avg_vol=2252254,price=1003.62,vol20=1.05%,beta=0.99) | PE=52.3, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.41, sma50=986.41, sma200=948.28, mom20=-0.41%, rsi14=53.1, vol20=1.05% | headline_sentiment=0.43 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.95",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.24, regime bullish)",DAILY_TRADING
NFLX,93.935,bullish,0.5479,-0.2574,0.1628,17,0.5603,-0.04,-0.8438,0.2115,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=398461894656,avg_vol=48441452,price=93.93,vol20=1.34%,beta=1.71) | PE=37.1, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.97, sma50=87.59, sma200=107.51, mom20=-3.85%, rsi14=40.0, vol20=1.34% | headline_sentiment=0.41 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.56, earnings_outlook_score=0.95, price_setup_score=0.83",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.21, regime bullish)",DAILY_TRADING
CAT,677.56,bullish,0.2646,0.0761,-0.0119,30,0.2319,-0.04,-0.9679,0.1793,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=317084237824,avg_vol=2803688,price=677.56,vol20=2.14%,beta=1.53) | PE=36.1, margin=0.13, ROE=0.44, rev_growth=0.18, debt_to_equity=206.7 | sma20=702.19, sma50=706.78, sma200=544.34, mom20=-6.13%, rsi14=35.2, vol20=2.14% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.23, earnings_outlook_score=0.45, price_setup_score=0.37",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.18, regime bullish)",DAILY_TRADING
