symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,prediction_1w_price,prediction_1w_return_pct,prediction_1m_price,prediction_1m_return_pct,prediction_3m_price,prediction_3m_return_pct,prediction_6m_price,prediction_6m_return_pct,prediction_1y_price,prediction_1y_return_pct,prediction_5y_price,prediction_5y_return_pct,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd,recommended_budget_usd
GOOGL,398.87,bullish,0.6985,1.3512,-0.3001,29,0.4481,0.76,0.3147,1.0671,BUY_STOCK,NO_OPTION,NOW,397.6734,418.2634,385.3194,1.667,,,0.0,403.3235,1.12,417.9117,4.77,458.7656,15.02,509.2431,27.67,650.1581,63.0,2929.2923,634.4,"gate(mcap=4832850608128,avg_vol=30596353,price=398.87,vol20=2.44%,beta=1.27) | PE=30.5, margin=0.38, ROE=0.39, rev_growth=0.22, debt_to_equity=20.0 | sma20=357.42, sma50=323.69, sma200=286.26, mom20=24.14%, rsi14=89.1, vol20=2.44% | headline_sentiment=-0.75 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=29, earnings_event_score=0.45, earnings_outlook_score=1.00, price_setup_score=0.46",STOCK_ONLY,"BUY 3 SHARES @ 397.67, SELL @ 418.26, STOP @ 385.32",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, negative news tone, market trend supportive, category trend supportive (score 1.07, regime bullish)",DAILY_TRADING,3,1193.02,0,0.0,1193.02
TSM,409.0878,bullish,0.74,1.0125,0.097,32,0.0,0.76,1.0,1.0096,BUY_STOCK,NO_OPTION,NOW,407.8605,438.0791,389.7294,1.667,,,0.0,413.6554,1.12,428.6173,4.77,470.5178,15.02,522.2883,27.67,666.8131,63.0,3004.3316,634.4,"gate(mcap=2121693003776,avg_vol=13463864,price=409.09,vol20=2.65%,beta=1.26) | PE=35.1, margin=0.47, ROE=0.36, rev_growth=0.35, debt_to_equity=17.1 | sma20=389.45, sma50=363.23, sma200=309.67, mom20=10.69%, rsi14=69.0, vol20=2.65% | headline_sentiment=0.24 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=32, earnings_event_score=0.00, earnings_outlook_score=0.99, price_setup_score=0.76",STOCK_ONLY,"BUY 2 SHARES @ 407.86, SELL @ 438.08, STOP @ 389.73",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive (score 1.01, regime bullish)",DAILY_TRADING,2,815.72,0,0.0,815.72
CSCO,96.4,bullish,0.4083,1.0631,0.102,5,0.7765,0.76,1.0,0.979,BUY_STOCK,NO_OPTION,NOW,96.1108,100.7494,93.3277,1.667,,,0.0,97.4763,1.12,101.0021,4.77,110.8757,15.02,123.0753,27.67,157.132,63.0,707.9594,634.4,"gate(mcap=380769697792,avg_vol=22532530,price=96.40,vol20=1.76%,beta=0.91) | PE=34.7, margin=0.19, ROE=0.24, rev_growth=0.10, debt_to_equity=66.5 | sma20=88.90, sma50=83.22, sma200=75.69, mom20=17.01%, rsi14=70.9, vol20=1.76% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=5, earnings_event_score=0.78, earnings_outlook_score=0.85, price_setup_score=0.67",STOCK_ONLY,"BUY 12 SHARES @ 96.11, SELL @ 100.75, STOP @ 93.33",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive, earnings catalyst in 5d (score 0.98, regime bullish)",EARNINGS_SWING,12,1153.33,0,0.0,1153.33
AVGO,428.6,bullish,0.4718,0.8407,0.1002,26,0.559,0.76,1.0,0.887,BUY_STOCK,NO_OPTION,NOW,427.3142,458.1728,408.7991,1.667,,,0.0,433.3855,1.12,449.061,4.77,492.96,15.02,547.1999,27.67,698.618,63.0,3147.6288,634.4,"gate(mcap=2029278855168,avg_vol=24149212,price=428.60,vol20=2.41%,beta=1.44) | PE=83.7, margin=0.37, ROE=0.33, rev_growth=0.29, debt_to_equity=82.7 | sma20=410.10, sma50=358.84, sma200=343.54, mom20=12.86%, rsi14=62.1, vol20=2.41% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=26, earnings_event_score=0.56, earnings_outlook_score=1.00, price_setup_score=0.83",STOCK_ONLY,"BUY 2 SHARES @ 427.31, SELL @ 458.17, STOP @ 408.80",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive (score 0.89, regime bullish)",EARNINGS_SWING,2,854.63,0,0.0,854.63
CAT,897.97,bullish,0.2432,1.1619,0.0,9,0.6685,0.76,0.2158,0.8671,BUY_STOCK,NO_OPTION,NOW,895.2761,953.2018,860.5206,1.667,,,0.0,907.9961,1.12,940.8383,4.77,1032.8121,15.02,1146.4513,27.67,1463.6911,63.0,6594.6713,634.4,"gate(mcap=413597761536,avg_vol=2661375,price=897.97,vol20=2.84%,beta=1.62) | PE=44.8, margin=0.13, ROE=0.51, rev_growth=0.22, debt_to_equity=230.8 | sma20=836.68, sma50=764.26, sma200=603.10, mom20=13.42%, rsi14=70.5, vol20=2.84% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=9, earnings_event_score=0.67, earnings_outlook_score=0.90, price_setup_score=0.69",STOCK_ONLY,"BUY 1 SHARES @ 895.28, SELL @ 953.20, STOP @ 860.52",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive (score 0.87, regime bullish)",EARNINGS_SWING,1,895.28,0,0.0,895.28
AMZN,272.39,bullish,0.4506,0.8982,0.0,83,0.0,0.76,0.6221,0.8018,BUY_STOCK,NO_OPTION,NOW,271.5728,286.2028,262.7948,1.667,,,0.0,275.4313,1.12,285.3937,4.77,313.293,15.02,347.7643,27.67,443.9957,63.0,2000.4262,634.4,"gate(mcap=2930129240064,avg_vol=49965964,price=272.39,vol20=1.34%,beta=1.47) | PE=32.6, margin=0.12, ROE=0.24, rev_growth=0.17, debt_to_equity=53.3 | sma20=259.58, sma50=231.23, sma200=228.52, mom20=13.55%, rsi14=79.5, vol20=1.34% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=83, earnings_event_score=0.00, earnings_outlook_score=1.00, price_setup_score=0.65",STOCK_ONLY,"BUY 4 SHARES @ 271.57, SELL @ 286.20, STOP @ 262.79",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.80, regime bullish)",DAILY_TRADING,4,1086.29,0,0.0,1086.29
SMH,563.98,bullish,0.0,1.3579,0.0914,-1,0.0,0.76,0.1838,0.7995,BUY_STOCK,NO_OPTION,NOW,562.288,594.3845,543.0302,1.667,,,0.0,570.277,1.12,590.9039,4.77,648.6691,15.02,720.0414,27.67,919.2874,63.0,4141.8563,634.4,"gate(mcap=58790612992,avg_vol=9015135,price=563.98,vol20=2.11%,beta=1.00) | ETF_fundamentals_n/a | sma20=492.90, sma50=434.51, sma200=368.89, mom20=27.21%, rsi14=82.1, vol20=2.11% | headline_sentiment=0.23 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=-1, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.48",STOCK_ONLY,"BUY 2 SHARES @ 562.29, SELL @ 594.38, STOP @ 543.03",NO OPTIONS TRADE,"bullish setup; strong technical trend, positive news tone, market trend supportive (score 0.80, regime bullish)",DAILY_TRADING,2,1124.58,0,0.0,1124.58
AAPL,292.9,bullish,0.5323,0.6118,0.0,1,0.0,0.76,1.0,0.7419,BUY_STOCK,NO_OPTION,NOW,292.0213,305.8684,283.713,1.667,,,0.0,296.0681,1.08,306.4382,4.62,335.4208,14.52,371.5183,26.84,471.2387,60.89,2075.8717,608.73,"gate(mcap=4301485768704,avg_vol=44251414,price=292.90,vol20=1.65%,beta=1.06) | PE=35.5, margin=0.27, ROE=1.41, rev_growth=0.17, debt_to_equity=79.5 | sma20=273.19, sma50=262.79, sma200=257.02, mom20=13.01%, rsi14=68.7, vol20=1.65% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=1, earnings_event_score=0.00, earnings_outlook_score=0.92, price_setup_score=0.71",STOCK_ONLY,"BUY 4 SHARES @ 292.02, SELL @ 305.87, STOP @ 283.71",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.74, regime bullish)",DAILY_TRADING,4,1168.09,0,0.0,1168.09
UNH,376.255,bullish,0.1693,0.8862,0.4005,80,0.0,0.76,-0.0655,0.6921,BUY_STOCK,NO_OPTION,NOW,375.1262,395.3177,363.0114,1.667,,,0.0,380.456,1.12,394.2171,4.77,432.7547,15.02,480.3702,27.67,613.2957,63.0,2763.2083,634.4,"gate(mcap=341693857792,avg_vol=8567519,price=376.26,vol20=1.87%,beta=0.65) | PE=28.4, margin=0.03, ROE=0.12, rev_growth=0.02, debt_to_equity=74.0 | sma20=349.71, sma50=309.87, sma200=317.44, mom20=20.21%, rsi14=87.2, vol20=1.87% | headline_sentiment=1.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=80, earnings_event_score=0.00, earnings_outlook_score=0.38, price_setup_score=0.54",STOCK_ONLY,"BUY 3 SHARES @ 375.13, SELL @ 395.32, STOP @ 363.01",NO OPTIONS TRADE,"bullish setup; strong technical trend, positive news tone, market trend supportive (score 0.69, regime bullish)",DAILY_TRADING,3,1125.38,0,0.0,1125.38
PANW,204.9,bullish,0.2789,0.4938,0.06,25,0.469,0.76,1.0,0.6478,BUY_STOCK,NO_OPTION,NOW,204.2853,219.8874,194.924,1.667,,,0.0,207.0947,1.07,214.277,4.58,234.3381,14.37,259.3886,26.59,328.3672,60.26,1436.7959,601.22,"gate(mcap=166173900800,avg_vol=10519456,price=204.90,vol20=2.50%,beta=0.77) | PE=113.2, margin=0.13, ROE=0.16, rev_growth=0.15, debt_to_equity=4.9 | sma20=178.00, sma50=168.31, sma200=184.86, mom20=26.08%, rsi14=78.8, vol20=2.50% | headline_sentiment=0.15 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=25, earnings_event_score=0.47, earnings_outlook_score=0.97, price_setup_score=0.51",STOCK_ONLY,"BUY 5 SHARES @ 204.29, SELL @ 219.89, STOP @ 194.92",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.65, regime bullish)",DAILY_TRADING,5,1021.43,0,0.0,1021.43
