symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
EQT,64.11,bullish,0.6611,0.6254,0.1523,22,0.6644,-0.04,1.0,0.8104,BUY_STOCK,NO_OPTION,NOW,63.9177,68.8755,60.943,1.667,,,0.0,"gate(mcap=40022204416,avg_vol=10037313,price=64.11,vol20=1.84%,beta=0.72) | PE=19.4, margin=0.25, ROE=0.09, rev_growth=0.27, debt_to_equity=28.9 | sma20=64.10, sma50=59.77, sma200=55.95, mom20=4.06%, rsi14=58.3, vol20=1.84% | headline_sentiment=0.38 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.66, earnings_outlook_score=0.96, price_setup_score=0.97",STOCK_ONLY,"BUY 0 SHARES @ 63.92, SELL @ 68.88, STOP @ 60.94",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.81, regime bullish)",EARNINGS_SWING
XOM,172.77,bullish,0.284,1.0749,0.1336,31,0.0,-0.04,1.0,0.7925,BUY_STOCK,NO_OPTION,NOW,172.2517,180.8881,167.0698,1.667,,,0.0,"gate(mcap=719891726336,avg_vol=21091210,price=172.77,vol20=1.40%,beta=0.35) | PE=25.8, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.69, sma50=149.77, sma200=123.02, mom20=13.79%, rsi14=89.3, vol20=1.40% | headline_sentiment=0.33 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.50",STOCK_ONLY,"BUY 0 SHARES @ 172.25, SELL @ 180.89, STOP @ 167.07",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.79, regime bullish)",DAILY_TRADING
CVX,211.68,bullish,0.1338,1.0933,0.0226,31,0.0,-0.04,1.0,0.7241,BUY_STOCK,NO_OPTION,NOW,211.045,219.8578,205.7572,1.667,,,0.0,"gate(mcap=423223164928,avg_vol=12332432,price=211.68,vol20=1.26%,beta=0.66) | PE=31.9, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.02, sma50=186.10, sma200=161.63, mom20=12.14%, rsi14=93.8, vol20=1.26% | headline_sentiment=0.06 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.56",STOCK_ONLY,"BUY 0 SHARES @ 211.04, SELL @ 219.86, STOP @ 205.76",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.72, regime bullish)",DAILY_TRADING
VZ,50.3679,bullish,0.235,0.5068,0.0744,9,0.5296,-0.04,-0.8869,0.4105,BUY_STOCK,NO_OPTION,NOW,50.2168,52.2047,49.0241,1.667,,,0.0,"gate(mcap=212435894272,avg_vol=31597718,price=50.37,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.60, sma50=47.53, sma200=43.26, mom20=-0.99%, rsi14=46.9, vol20=0.97% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.53, earnings_outlook_score=0.22, price_setup_score=0.91",STOCK_ONLY,"BUY 0 SHARES @ 50.22, SELL @ 52.20, STOP @ 49.02",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.41, regime bullish)",DAILY_TRADING
T,28.9901,bullish,0.3953,0.3625,-0.0086,22,0.3874,-0.04,-0.8869,0.3829,BUY_STOCK,NO_OPTION,NOW,28.9031,30.1128,28.1773,1.667,,,0.0,"gate(mcap=202947428352,avg_vol=44477611,price=28.99,vol20=1.46%,beta=0.58) | PE=9.5, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.26, sma50=27.21, sma200=26.88, mom20=1.12%, rsi14=67.8, vol20=1.46% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.82",STOCK_ONLY,"BUY 0 SHARES @ 28.90, SELL @ 30.11, STOP @ 28.18",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.38, regime bullish)",DAILY_TRADING
PFE,27.62,bullish,0.2463,0.2998,0.0336,35,0.0,-0.04,-0.8765,0.2635,BUY_STOCK,NO_OPTION,NOW,27.5371,28.8029,26.7777,1.667,,,0.0,"gate(mcap=157112401920,avg_vol=45343106,price=27.62,vol20=1.45%,beta=0.41) | PE=20.3, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.03, sma50=26.84, sma200=25.40, mom20=3.91%, rsi14=55.1, vol20=1.45% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 0 SHARES @ 27.54, SELL @ 28.80, STOP @ 26.78",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.26, regime bullish)",DAILY_TRADING
WMT,124.21,bullish,0.1669,0.2869,0.1904,37,0.0,-0.04,-0.7182,0.2622,BUY_STOCK,NO_OPTION,NOW,123.8374,128.9845,120.7491,1.667,,,0.0,"gate(mcap=990252105728,avg_vol=31058015,price=124.21,vol20=1.35%,beta=0.66) | PE=45.5, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.79, sma50=124.16, sma200=108.81, mom20=-2.89%, rsi14=47.6, vol20=1.35% | headline_sentiment=0.48 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.92",STOCK_ONLY,"BUY 0 SHARES @ 123.84, SELL @ 128.98, STOP @ 120.75",NO OPTIONS TRADE,"bullish setup; positive news tone, category trend weak (score 0.26, regime bullish)",DAILY_TRADING
KO,76.93,bullish,0.3916,0.1147,0.0179,0,0.0,-0.04,-0.7182,0.2487,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=331118510080,avg_vol=17924930,price=76.93,vol20=0.98%,beta=0.33) | PE=25.3, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.69, sma50=76.80, sma200=71.22, mom20=-3.04%, rsi14=44.3, vol20=0.98% | headline_sentiment=0.04 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.89",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING
COST,1000.96,bullish,0.2615,0.1303,0.1242,59,0.0,-0.04,-0.7182,0.2196,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=444295544832,avg_vol=2252254,price=1000.96,vol20=1.02%,beta=0.99) | PE=52.2, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=990.28, sma50=986.36, sma200=948.27, mom20=-0.68%, rsi14=51.8, vol20=1.02% | headline_sentiment=0.31 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.95",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.22, regime bullish)",DAILY_TRADING
NFLX,93.01,bullish,0.5503,-0.3066,0.1474,17,0.549,-0.04,-0.8869,0.1834,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=394538156032,avg_vol=48441452,price=93.01,vol20=1.33%,beta=1.71) | PE=36.8, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.92, sma50=87.57, sma200=107.50, mom20=-4.80%, rsi14=36.8, vol20=1.33% | headline_sentiment=0.37 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.55, earnings_outlook_score=0.95, price_setup_score=0.78",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.18, regime bullish)",DAILY_TRADING
