symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
XOM,175.13,bullish,0.2816,1.1028,0.0908,31,0.0,-0.04,1.0,0.7977,BUY_STOCK,NO_OPTION,NOW,174.6046,183.241,169.4228,1.667,,,0.0,"gate(mcap=729725337600,avg_vol=22025426,price=175.13,vol20=1.46%,beta=0.35) | PE=26.1, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.81, sma50=149.82, sma200=123.03, mom20=15.35%, rsi14=90.1, vol20=1.46% | headline_sentiment=0.23 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.47",STOCK_ONLY,"BUY 0 SHARES @ 174.60, SELL @ 183.24, STOP @ 169.42",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.80, regime bullish)",DAILY_TRADING
CVX,213.83,bullish,0.1317,1.1144,-0.0271,31,0.0,-0.04,1.0,0.7253,BUY_STOCK,NO_OPTION,NOW,213.1885,222.0014,207.9008,1.667,,,0.0,"gate(mcap=427521769472,avg_vol=12953808,price=213.83,vol20=1.27%,beta=0.66) | PE=32.3, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=198.12, sma50=186.14, sma200=161.64, mom20=13.28%, rsi14=94.2, vol20=1.27% | headline_sentiment=-0.07 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.53",STOCK_ONLY,"BUY 0 SHARES @ 213.19, SELL @ 222.00, STOP @ 207.90",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.73, regime bullish)",DAILY_TRADING
VZ,50.645,bullish,0.2346,0.5424,0.0779,9,0.5446,-0.04,-0.8598,0.4304,BUY_STOCK,NO_OPTION,NOW,50.4931,52.4588,49.3136,1.667,,,0.0,"gate(mcap=213604614144,avg_vol=32188156,price=50.65,vol20=0.98%,beta=0.28) | PE=12.5, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.62, sma50=47.54, sma200=43.26, mom20=-0.44%, rsi14=49.4, vol20=0.98% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.54, earnings_outlook_score=0.22, price_setup_score=0.94",STOCK_ONLY,"BUY 0 SHARES @ 50.49, SELL @ 52.46, STOP @ 49.31",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.43, regime bullish)",DAILY_TRADING
T,29.125,bullish,0.395,0.3952,-0.0116,22,0.3876,-0.04,-0.8598,0.3993,BUY_STOCK,NO_OPTION,NOW,29.0376,30.2473,28.3118,1.667,,,0.0,"gate(mcap=203891802112,avg_vol=45586408,price=29.12,vol20=1.46%,beta=0.58) | PE=9.6, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.27, sma50=27.22, sma200=26.88, mom20=1.59%, rsi14=70.1, vol20=1.46% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.79",STOCK_ONLY,"BUY 0 SHARES @ 29.04, SELL @ 30.25, STOP @ 28.31",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.40, regime bullish)",DAILY_TRADING
PFE,27.38,bullish,0.2474,0.2583,0.0577,35,0.0,-0.04,-0.8132,0.254,BUY_STOCK,NO_OPTION,NOW,27.2979,28.545,26.5496,1.667,,,0.0,"gate(mcap=155747188736,avg_vol=45774528,price=27.38,vol20=1.40%,beta=0.41) | PE=20.1, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.02, sma50=26.84, sma200=25.40, mom20=3.01%, rsi14=52.6, vol20=1.40% | headline_sentiment=0.14 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.95",STOCK_ONLY,"BUY 0 SHARES @ 27.30, SELL @ 28.55, STOP @ 26.55",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.25, regime bullish)",DAILY_TRADING
KO,76.29,bullish,0.393,0.0537,0.033,0,0.0,-0.04,-0.6901,0.2263,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=328363835392,avg_vol=18386836,price=76.29,vol20=0.92%,beta=0.33) | PE=25.1, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.66, sma50=76.79, sma200=71.22, mom20=-3.84%, rsi14=39.6, vol20=0.92% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.48",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.23, regime bullish)",DAILY_TRADING
WMT,123.75,bullish,0.168,0.2676,-0.0127,37,0.0,-0.04,-0.6901,0.2257,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=986584842240,avg_vol=31312283,price=123.75,vol20=1.33%,beta=0.66) | PE=45.3, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.77, sma50=124.15, sma200=108.81, mom20=-3.25%, rsi14=46.3, vol20=1.33% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.55",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; category trend weak (score 0.23, regime bullish)",DAILY_TRADING
NFLX,93.365,bullish,0.5494,-0.2907,0.1639,17,0.5553,-0.04,-0.8598,0.1955,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=396044009472,avg_vol=49541866,price=93.36,vol20=1.33%,beta=1.71) | PE=36.9, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.94, sma50=87.58, sma200=107.50, mom20=-4.44%, rsi14=37.7, vol20=1.33% | headline_sentiment=0.41 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.56, earnings_outlook_score=0.95, price_setup_score=0.79",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.20, regime bullish)",DAILY_TRADING
COST,993.37,bullish,0.2642,0.0771,0.0419,59,0.0,-0.04,-0.6901,0.1866,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=440926535680,avg_vol=2223468,price=993.37,vol20=0.96%,beta=0.99) | PE=51.8, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=989.90, sma50=986.20, sma200=948.23, mom20=-1.43%, rsi14=47.8, vol20=0.96% | headline_sentiment=0.10 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.92",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.19, regime bullish)",DAILY_TRADING
CAT,678.485,bullish,0.2643,0.0791,-0.0139,30,0.2323,-0.04,-0.987,0.1787,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=317517135872,avg_vol=2847900,price=678.48,vol20=2.14%,beta=1.53) | PE=36.1, margin=0.13, ROE=0.44, rev_growth=0.18, debt_to_equity=206.7 | sma20=702.21, sma50=706.80, sma200=544.35, mom20=-6.05%, rsi14=35.4, vol20=2.14% | headline_sentiment=-0.03 weighted from 20 headlines | earnings_days=30, earnings_event_score=0.23, earnings_outlook_score=0.45, price_setup_score=0.37",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.18, regime bullish)",DAILY_TRADING
